code,LA,workType,workCat,WorkType%
E09000001,City of London,1,Commutes via Public Transport,0.097068146
E09000001,City of London,4,Works mainly from home,0.713549921
E09000002,Barking and Dagenham,1,Commutes via Public Transport,0.35407892
E09000002,Barking and Dagenham,4,Works mainly from home,0.26677571
E09000003,Barnet,1,Commutes via Public Transport,0.204277845
E09000003,Barnet,4,Works mainly from home,0.503006873
E09000004,Bexley,1,Commutes via Public Transport,0.190502434
E09000004,Bexley,4,Works mainly from home,0.415296531
E09000005,Brent,1,Commutes via Public Transport,0.321672674
E09000005,Brent,4,Works mainly from home,0.373265569
E09000006,Bromley,1,Commutes via Public Transport,0.156950067
E09000006,Bromley,4,Works mainly from home,0.536337808
E09000007,Camden,1,Commutes via Public Transport,0.180741919
E09000007,Camden,4,Works mainly from home,0.624281555
E09000008,Croydon,1,Commutes via Public Transport,0.232311328
E09000008,Croydon,4,Works mainly from home,0.442573782
E09000009,Ealing,1,Commutes via Public Transport,0.246055712
E09000009,Ealing,4,Works mainly from home,0.428439589
E09000010,Enfield,1,Commutes via Public Transport,0.232302905
E09000010,Enfield,4,Works mainly from home,0.380297291
E09000011,Greenwich,1,Commutes via Public Transport,0.275311485
E09000011,Greenwich,4,Works mainly from home,0.471675388
E09000012,Hackney,1,Commutes via Public Transport,0.20339803
E09000012,Hackney,4,Works mainly from home,0.557530465
E09000013,Hammersmith and Fulham,1,Commutes via Public Transport,0.206348669
E09000013,Hammersmith and Fulham,4,Works mainly from home,0.579110103
E09000014,Haringey,1,Commutes via Public Transport,0.287432176
E09000014,Haringey,4,Works mainly from home,0.492011117
E09000015,Harrow,1,Commutes via Public Transport,0.214220787
E09000015,Harrow,4,Works mainly from home,0.436844854
E09000016,Havering,1,Commutes via Public Transport,0.187436109
E09000016,Havering,4,Works mainly from home,0.409432256
E09000017,Hillingdon,1,Commutes via Public Transport,0.183845454
E09000017,Hillingdon,4,Works mainly from home,0.37745446
E09000018,Hounslow,1,Commutes via Public Transport,0.237258092
E09000018,Hounslow,4,Works mainly from home,0.385742422
E09000019,Islington,1,Commutes via Public Transport,0.191947476
E09000019,Islington,4,Works mainly from home,0.616697567
E09000020,Kensington and Chelsea,1,Commutes via Public Transport,0.166878515
E09000020,Kensington and Chelsea,4,Works mainly from home,0.63570498
E09000021,Kingston upon Thames,1,Commutes via Public Transport,0.135877328
E09000021,Kingston upon Thames,4,Works mainly from home,0.528889428
E09000022,Lambeth,1,Commutes via Public Transport,0.247135349
E09000022,Lambeth,4,Works mainly from home,0.564745412
E09000023,Lewisham,1,Commutes via Public Transport,0.255627365
E09000023,Lewisham,4,Works mainly from home,0.515089729
E09000024,Merton,1,Commutes via Public Transport,0.222413883
E09000024,Merton,4,Works mainly from home,0.506183681
E09000025,Newham,1,Commutes via Public Transport,0.389949081
E09000025,Newham,4,Works mainly from home,0.360643972
E09000026,Redbridge,1,Commutes via Public Transport,0.246543071
E09000026,Redbridge,4,Works mainly from home,0.421711223
E09000027,Richmond upon Thames,1,Commutes via Public Transport,0.107227155
E09000027,Richmond upon Thames,4,Works mainly from home,0.64428459
E09000028,Southwark,1,Commutes via Public Transport,0.250618406
E09000028,Southwark,4,Works mainly from home,0.540467181
E09000029,Sutton,1,Commutes via Public Transport,0.162935537
E09000029,Sutton,4,Works mainly from home,0.434525238
E09000030,Tower Hamlets,1,Commutes via Public Transport,0.232429025
E09000030,Tower Hamlets,4,Works mainly from home,0.560344148
E09000031,Waltham Forest,1,Commutes via Public Transport,0.272422544
E09000031,Waltham Forest,4,Works mainly from home,0.457025803
E09000032,Wandsworth,1,Commutes via Public Transport,0.189785758
E09000032,Wandsworth,4,Works mainly from home,0.618085662
E09000033,Westminster,1,Commutes via Public Transport,0.191035926
E09000033,Westminster,4,Works mainly from home,0.596826932
