code,LA,dep0,dep1,dep2,dep3,dep4
E09000001,City of London,2937,1547,347,75,8
E09000002,Barking and Dagenham,27781,27396,14090,4348,287
E09000003,Barnet,73825,49136,19877,5415,668
E09000004,Bexley,46238,32625,13232,2998,206
E09000005,Brent,47376,43300,21017,6328,591
E09000006,Bromley,74219,42434,15360,3586,228
E09000007,Camden,44082,29601,13535,4938,603
E09000008,Croydon,73406,51772,21635,5581,552
E09000009,Ealing,61529,45650,20275,5686,518
E09000010,Enfield,51013,43120,20209,6012,566
E09000011,Greenwich,55023,36622,16597,5382,428
E09000013,Hammersmith and Fulham,41748,25243,10555,3319,379
E09000014,Haringey,45524,35580,17629,5755,607
E09000015,Harrow,43681,30953,12012,2763,233
E09000016,Havering,47903,34966,14859,3337,212
E09000017,Hillingdon,50136,38207,16448,4110,327
E09000018,Hounslow,45406,36270,16488,4377,420
E09000019,Islington,46657,29403,14577,5409,450
E09000020,Kensington and Chelsea,35174,20245,8121,2918,426
E09000021,Kingston upon Thames,36639,20274,7045,1552,116
E09000022,Lambeth,67366,42725,18625,5499,473
E09000023,Lewisham,57783,39762,18556,5755,536
E09000024,Merton,44057,25596,9632,2276,168
E09000025,Newham,45399,41296,21230,7081,501
E09000026,Redbridge,47994,36254,15319,3869,277
E09000027,Richmond upon Thames,49261,22644,6992,1678,130
E09000028,Southwark,63507,41817,19018,6066,410
E09000029,Sutton,41892,27257,10463,2549,187
E09000030,Tower Hamlets,55936,38337,18685,7054,527
E09000031,Waltham Forest,46576,34786,16559,4600,380
E09000032,Wandsworth,80186,38272,14425,4113,396
E09000033,Westminster,47540,28839,12728,5025,683
E09000012,Hackney,47686,34486,16971,6333,605
