code,LA,workType,workCat,Manager%,Professional%,TechOp%,Admin%,SkilledTrade%,Caring%,Sales%,MachineOp%,Elementary%
E09000001,City of London,1,Commutes via Public Transport,0.080615942,0.07879046,0.096303502,0.120300752,0.195876289,0.368421053,0.282258065,0.22,0.394444444
E09000001,City of London,4,WFH,0.685688406,0.758943782,0.719844358,0.687969925,0.278350515,0.25,0.39516129,0.1,0.105555556
E09000002,Barking and Dagenham,1,Commutes via Public Transport,0.235739979,0.251168917,0.266989768,0.278964107,0.426081402,0.454636912,0.473067916,0.217624094,0.559184218
E09000002,Barking and Dagenham,4,WFH,0.301772867,0.405861047,0.414108778,0.431054066,0.04024457,0.080757271,0.138043195,0.047518126,0.040789123
E09000003,Barnet,1,Commutes via Public Transport,0.125218386,0.142356782,0.157535316,0.179226439,0.339342451,0.363065765,0.371155289,0.190566937,0.537563667
E09000003,Barnet,4,WFH,0.577332359,0.577856931,0.60356669,0.542400581,0.086545103,0.166957249,0.217835709,0.089447356,0.077956989
E09000004,Bexley,1,Commutes via Public Transport,0.140787749,0.149165136,0.158817697,0.158213182,0.22642584,0.276686345,0.287965791,0.172139973,0.356312783
E09000004,Bexley,4,WFH,0.467131131,0.513772046,0.518155905,0.539456746,0.067122285,0.144294977,0.17251069,0.096769852,0.069135316
E09000005,Brent,1,Commutes via Public Transport,0.18828877,0.197083081,0.212384378,0.278737791,0.458701692,0.524884925,0.467034195,0.245205691,0.600926178
E09000005,Brent,4,WFH,0.482139037,0.543132822,0.552209661,0.449436514,0.060053044,0.112701381,0.15331893,0.054283947,0.041224008
E09000006,Bromley,1,Commutes via Public Transport,0.109395202,0.138141188,0.140406162,0.137999098,0.201751642,0.253723357,0.264031062,0.171326287,0.355948869
E09000006,Bromley,4,WFH,0.615249246,0.586499838,0.610449735,0.59587187,0.102361589,0.16222242,0.216143076,0.15189226,0.094067519
E09000007,Camden,1,Commutes via Public Transport,0.122657021,0.139737991,0.142440346,0.22057197,0.3570484,0.398121617,0.402173913,0.222559946,0.488960181
E09000007,Camden,4,WFH,0.70075633,0.683179266,0.687975409,0.56501817,0.192541656,0.214262974,0.269409938,0.129010469,0.1143612
E09000008,Croydon,1,Commutes via Public Transport,0.139379614,0.157361694,0.173771595,0.187089433,0.281643389,0.402520548,0.361392267,0.190507152,0.516292626
E09000008,Croydon,4,WFH,0.537530066,0.552623079,0.567982948,0.546578389,0.077096512,0.123671233,0.18430059,0.104774289,0.06732731
E09000009,Ealing,1,Commutes via Public Transport,0.133598377,0.165142699,0.170723561,0.2185193,0.355448409,0.421015952,0.387897291,0.21169372,0.51580158
E09000009,Ealing,4,WFH,0.551952624,0.567898436,0.564527577,0.478661323,0.077467052,0.13380827,0.173007672,0.070196312,0.04830483
E09000010,Enfield,1,Commutes via Public Transport,0.132972618,0.15216285,0.173547659,0.187409447,0.300062513,0.375017875,0.350224383,0.193917559,0.50361596
E09000010,Enfield,4,WFH,0.467399027,0.498015267,0.522729836,0.488409157,0.065569216,0.117617618,0.150710546,0.073858218,0.052244389
E09000011,Greenwich,1,Commutes via Public Transport,0.172049294,0.179008048,0.19982011,0.253596348,0.402254939,0.453690467,0.441792021,0.257274119,0.588952987
E09000011,Greenwich,4,WFH,0.597737172,0.618619288,0.596903995,0.527780171,0.084699963,0.109472575,0.191628515,0.095224836,0.06299317
E09000012,Hackney,1,Commutes via Public Transport,0.123042266,0.126791869,0.135782342,0.222985106,0.328180553,0.465304866,0.415241274,0.239452176,0.586612691
E09000012,Hackney,4,WFH,0.636612315,0.658683382,0.665507372,0.474701595,0.161230484,0.140422911,0.260742595,0.134747073,0.078892864
E09000013,Hammersmith and Fulham,1,Commutes via Public Transport,0.134977358,0.168203552,0.153079905,0.234202899,0.393103448,0.417794118,0.379496403,0.224474751,0.513243378
E09000013,Hammersmith and Fulham,4,WFH,0.667466856,0.635655738,0.666379496,0.548115942,0.141935484,0.184117647,0.292765787,0.144120899,0.09478594
E09000014,Haringey,1,Commutes via Public Transport,0.168346246,0.163075373,0.179745445,0.27989988,0.491344874,0.517612055,0.458369417,0.288652953,0.697038861
E09000014,Haringey,4,WFH,0.616123959,0.628827173,0.640325977,0.5088693,0.084332002,0.130146847,0.209946802,0.081785003,0.049011953
E09000015,Harrow,1,Commutes via Public Transport,0.130806986,0.155670891,0.162742668,0.177974435,0.357518056,0.366175959,0.346756399,0.196515501,0.479487179
E09000015,Harrow,4,WFH,0.526138569,0.543112781,0.545298086,0.510570305,0.062458963,0.137243538,0.161076787,0.077376377,0.062991453
