GSSCode,year,dph
E09000001,2001,15.9
E09000001,2002,16.2
E09000001,2003,16.3
E09000001,2004,16.7
E09000001,2005,17.1
E09000001,2006,17.1
E09000001,2007,17.1
E09000001,2008,17.2
E09000001,2009,17.4
E09000001,2010,17.3
E09000001,2011,17.5
E09000001,2012,17.6
E09000001,2013,17.7
E09000001,2014,19.1
E09000001,2015,19.8
E09000001,2016,20
E09000001,2017,20
E09000001,2018,20.5
E09000001,2019,20.7
E09000002,2001,18.1
E09000002,2002,18.1
E09000002,2003,18.2
E09000002,2004,18.2
E09000002,2005,18.3
E09000002,2006,18.4
E09000002,2007,18.5
E09000002,2008,18.7
E09000002,2009,18.7
E09000002,2010,18.8
E09000002,2011,18.8
E09000002,2012,18.9
E09000002,2013,19
E09000002,2014,19.2
E09000002,2015,19.4
E09000002,2016,19.6
E09000002,2017,19.7
E09000002,2018,19.8
E09000002,2019,20.1
E09000003,2001,15
E09000003,2002,15.1
E09000003,2003,15.2
E09000003,2004,15.3
E09000003,2005,15.4
E09000003,2006,15.6
E09000003,2007,15.6
E09000003,2008,15.8
E09000003,2009,15.9
E09000003,2010,16
E09000003,2011,16.1
E09000003,2012,16.3
E09000003,2013,16.5
E09000003,2014,16.6
E09000003,2015,16.7
E09000003,2016,16.9
E09000003,2017,17.1
E09000003,2018,17.4
E09000003,2019,17.6
E09000004,2001,14.2
E09000004,2002,14.3
E09000004,2003,14.3
E09000004,2004,14.5
E09000004,2005,14.5
E09000004,2006,14.5
E09000004,2007,14.6
E09000004,2008,14.6
E09000004,2009,14.7
E09000004,2010,14.7
E09000004,2011,14.8
E09000004,2012,14.8
E09000004,2013,14.9
E09000004,2014,15
E09000004,2015,15.1
E09000004,2016,15.1
E09000004,2017,15.2
E09000004,2018,15.2
E09000004,2019,15.3
E09000005,2001,23.5
E09000005,2002,23.8
E09000005,2003,24
E09000005,2004,24.2
E09000005,2005,24.3
E09000005,2006,24.7
E09000005,2007,25
E09000005,2008,25.2
E09000005,2009,25.5
E09000005,2010,25.8
E09000005,2011,25.9
E09000005,2012,26.1
E09000005,2013,26.2
E09000005,2014,26.4
E09000005,2015,26.7
E09000005,2016,27
E09000005,2017,27.3
E09000005,2018,27.5
E09000005,2019,27.9
E09000006,2001,8.6
E09000006,2002,8.6
E09000006,2003,8.6
E09000006,2004,8.6
E09000006,2005,8.7
E09000006,2006,8.8
E09000006,2007,8.8
E09000006,2008,8.9
E09000006,2009,8.9
E09000006,2010,8.9
E09000006,2011,9
E09000006,2012,9
E09000006,2013,9.1
E09000006,2014,9.1
E09000006,2015,9.1
E09000006,2016,9.2
E09000006,2017,9.2
E09000006,2018,9.3
E09000006,2019,9.3
E09000007,2001,42.7
E09000007,2002,43.1
E09000007,2003,43.4
E09000007,2004,43.5
E09000007,2005,43.9
E09000007,2006,44.2
E09000007,2007,44.5
E09000007,2008,44.8
E09000007,2009,45.2
E09000007,2010,45.5
E09000007,2011,45.8
E09000007,2012,46
E09000007,2013,46.2
E09000007,2014,46.5
E09000007,2015,46.7
E09000007,2016,47.1
E09000007,2017,47.7
E09000007,2018,48.1
E09000007,2019,48.5
E09000008,2001,16.3
E09000008,2002,16.3
E09000008,2003,16.4
E09000008,2004,16.4
E09000008,2005,16.5
E09000008,2006,16.5
E09000008,2007,16.6
E09000008,2008,16.8
E09000008,2009,16.9
E09000008,2010,17
E09000008,2011,17.1
E09000008,2012,17.2
E09000008,2013,17.3
E09000008,2014,17.5
E09000008,2015,17.6
E09000008,2016,17.9
E09000008,2017,18.2
E09000008,2018,18.4
E09000008,2019,18.6
E09000009,2001,21.7
E09000009,2002,21.7
E09000009,2003,21.8
E09000009,2004,21.9
E09000009,2005,21.9
E09000009,2006,22.1
E09000009,2007,22.3
E09000009,2008,22.6
E09000009,2009,22.8
E09000009,2010,22.8
E09000009,2011,22.9
E09000009,2012,23
E09000009,2013,23.2
E09000009,2014,23.3
E09000009,2015,23.5
E09000009,2016,23.6
E09000009,2017,23.8
E09000009,2018,24
E09000009,2019,24.4
E09000010,2001,13.7
E09000010,2002,13.9
E09000010,2003,14
E09000010,2004,14.2
E09000010,2005,14.2
E09000010,2006,14.3
E09000010,2007,14.4
E09000010,2008,14.6
E09000010,2009,14.7
E09000010,2010,14.7
E09000010,2011,14.8
E09000010,2012,14.9
E09000010,2013,14.9
E09000010,2014,15
E09000010,2015,15.1
E09000010,2016,15.1
E09000010,2017,15.3
E09000010,2018,15.3
E09000010,2019,15.4
E09000011,2001,18.9
E09000011,2002,19
E09000011,2003,19.2
E09000011,2004,19.5
E09000011,2005,19.8
E09000011,2006,20.1
E09000011,2007,20.2
E09000011,2008,20.3
E09000011,2009,20.3
E09000011,2010,20.4
E09000011,2011,20.5
E09000011,2012,20.7
E09000011,2013,20.7
E09000011,2014,21
E09000011,2015,21.2
E09000011,2016,21.5
E09000011,2017,22
E09000011,2018,22.4
E09000011,2019,22.7
E09000012,2001,45.8
E09000012,2002,46.5
E09000012,2003,47.4
E09000012,2004,48.1
E09000012,2005,48.7
E09000012,2006,49.3
E09000012,2007,50.1
E09000012,2008,51.1
E09000012,2009,52.3
E09000012,2010,53.4
E09000012,2011,53.8
E09000012,2012,54.4
E09000012,2013,54.8
E09000012,2014,55.4
E09000012,2015,56
E09000012,2016,56.5
E09000012,2017,57.1
E09000012,2018,57.8
E09000012,2019,58.6
E09000013,2001,44.9
E09000013,2002,45.1
E09000013,2003,45.2
E09000013,2004,45.6
E09000013,2005,45.9
E09000013,2006,46.2
E09000013,2007,46.6
E09000013,2008,46.9
E09000013,2009,47.2
E09000013,2010,47.7
E09000013,2011,48
E09000013,2012,48.3
E09000013,2013,48.5
E09000013,2014,48.9
E09000013,2015,49.7
E09000013,2016,49.9
E09000013,2017,50.5
E09000013,2018,51.4
E09000013,2019,52
E09000014,2001,31.6
E09000014,2002,31.9
E09000014,2003,32.1
E09000014,2004,32.3
E09000014,2005,32.8
E09000014,2006,33.2
E09000014,2007,33.7
E09000014,2008,34.1
E09000014,2009,34.6
E09000014,2010,34.9
E09000014,2011,35.2
E09000014,2012,35.6
E09000014,2013,35.8
E09000014,2014,36
E09000014,2015,36
E09000014,2016,36.1
E09000014,2017,36.4
E09000014,2018,36.8
E09000014,2019,37
E09000015,2001,16
E09000015,2002,16
E09000015,2003,16.2
E09000015,2004,16.3
E09000015,2005,16.4
E09000015,2006,16.5
E09000015,2007,16.7
E09000015,2008,16.8
